user-id	text	topic	thread-id	time	post-id	replyTo	replyBy
arezcsa	"@MariaCespedesc @PCaterianoB CREEN?? 
WOW PIENSAN JAJAJ"	covid-19	1291147941621772290	2020-08-05 23:03:52	21	MariaCespedesc	arezcsa
acqa2010	@MariaCespedesc @PCaterianoB Que dirá ahora Bacteriano?	covid-19	1291147454285520896	2020-08-05 23:01:56	22	MariaCespedesc	acqa2010
MarioS759	"@MariaCespedesc @PCaterianoB Sra Céspedes, sugiero q Ud vea este video, entrevistan a Hernando de Soto, tiene varios puntos comunes con lo q Ud está expresando, en #BaellaTalks 👉https://t.co/TnaoVnW08w
Y hay otro sobre la Hermandad del Agua, entre Huancavelica e Ica, habla Cillóniz 👉https://t.co/cC87GnHfde"	covid-19	1291144203167203330	2020-08-05 22:49:00	23	MariaCespedesc	MarioS759
ocusinga	@MariaCespedesc @PCaterianoB Y seguro tu experiencia en minería te ayuda, no??? Por casualidad cuantos años trabajaste en minería???	covid-19	1291140825402028032	2020-08-05 22:35:35	24	MariaCespedesc	ocusinga
Lasc2010	@MariaCespedesc @PCaterianoB Toda mi solidaridad con la bancada del @FrepapPeru  . No sé le puede dar la espalda al pueblo. Porque eso es lo que ha hecho el gobierno y lo que representaba Cateriano.	covid-19	1291138524259979264	2020-08-05 22:26:27	25	MariaCespedesc	Lasc2010
BorjaCarit	@MariaCespedesc @PCaterianoB Vacancia presidencial.	covid-19	1291136763042451456	2020-08-05 22:19:27	26	MariaCespedesc	BorjaCarit
wagnerariasll	@MariaCespedesc eso debería ser lo óptimo, y la unión y el bienestar de la población no de intereses particulares, como los de Congresista Luna y compañia	covid-19	1291136670717411331	2020-08-05 22:19:05	27	MariaCespedesc	wagnerariasll
robertogoto	@MariaCespedesc @GatoRandiano @PCaterianoB Muy buena respuesta a #LuzVerde @PCaterianoB	covid-19	1291134684815151105	2020-08-05 22:11:11	28	MariaCespedesc	robertogoto
PirqaWiqa	"@MariaCespedesc @PCaterianoB Jajaja, eso es teoría(minería) acaso no entiendes. La realidad es la Pandemia.
Voté por frepap, pero nunca más."	covid-19	1291133301428752385	2020-08-05 22:05:41	29	MariaCespedesc	PirqaWiqa
cesargarciaing	@MariaCespedesc @PCaterianoB un partido cuyo fundador fue acusado de violacion y asesinato	covid-19	1291132377587212289	2020-08-05 22:02:01	30	MariaCespedesc	cesargarciaing
joharguelles	@MariaCespedesc @PCaterianoB 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻	covid-19	1291131226095484934	2020-08-05 21:57:27	31	MariaCespedesc	joharguelles
Claudia23Rv	@MariaCespedesc @PCaterianoB Pero qué mejor respeto al pueblo que tener una minería legal ? ... su voto en contra es favoreciendo a la ilegalidad minera = contaminación y sin ingresos al CANON minero que es dinero para cada región. 🤦🏻‍♀️	covid-19	1291130826160308224	2020-08-05 21:55:51	32	MariaCespedesc	Claudia23Rv
NellyMiranda_B	@MariaCespedesc @PCaterianoB Nosotros creemos en ti M. C., pero no en el resto, que solo  cuidan sus intereses personales, no era el momento, recuerda que esta pandemia afecta a los que menos tienen y la cuarentena solo evidencio nuestra pobreza. Ganaron los que negociaron bajo la mesa y no te diste  cuenta.	covid-19	1291128928237756417	2020-08-05 21:48:19	33	MariaCespedesc	NellyMiranda_B
Natimarreros	@MariaCespedesc @PCaterianoB 💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪	covid-19	1291126682066313227	2020-08-05 21:39:23	34	MariaCespedesc	Natimarreros
ingvidaldos	@MariaCespedesc @PCaterianoB Creen en la mineria? En el congreso dijo lo contrario señora no falte a la verdad, la mineria es la q paga sus bolsillos cada mes, la mineria nos ah llevado a un avance económico que hoy se ve estancado por la culpa de sierto grupos políticos que no tienen capacidad de elección.	covid-19	1291125979923062789	2020-08-05 21:36:36	35	MariaCespedesc	ingvidaldos
Yolandaruiz178	@MariaCespedesc @PCaterianoB Así el pueblo está con Frepap. Apoyaremos para terminar con la corrupción. 💪😷🇵🇪	covid-19	1291123230879682561	2020-08-05 21:25:40	36	MariaCespedesc	Yolandaruiz178
Victor198	"@MariaCespedesc @PCaterianoB Q

R
I
O

Sigan adelante pescaditos!!!! A ese hdp de Luz Verde no le den respiro, es un MALDITO CORRUPTO!"	covid-19	1291122544356065284	2020-08-05 21:22:57	37	MariaCespedesc	Victor198
espaciolibre231	@MariaCespedesc @PCaterianoB Pero ya hay rumores de vacar al presidente... que se trae entre manos este congreso. Estén alertas...los están haciendo pisar el palito!!	covid-19	1291121458534649856	2020-08-05 21:18:38	38	MariaCespedesc	espaciolibre231
